Quarters,year,month,Petrol,Regular Petrol,Premium Petrol,Diesel
Mar-74,1974,3,451523080,42926490,408596590,93802330
Jun-74,1974,6,449933210,36567010,411776330,89032720
Sep-74,1974,9,457882560,36567010,421315550,92212460
Dec-74,1974,12,497629310,41336620,456292690,92212460
Mar-75,1975,3,475371130,38156880,438804120,87442850
Jun-75,1975,6,462652170,33387270,429264900,106521290
Sep-75,1975,9,453112950,30207530,422905420,98571940
Dec-75,1975,12,486500220,36567010,451523080,108111160
Mar-76,1976,3,459472430,27027790,432444640,111290900
Jun-76,1976,6,456292690,23848050,430854770,101751680
Sep-76,1976,9,453112950,23848050,427675030,104931420
Dec-76,1976,12,492859700,28617660,464242040,109701030
Mar-77,1977,3,502398920,28617660,473781260,114470640
Jun-77,1977,6,441983860,19078440,422905420,103341550
Sep-77,1977,9,457882560,19078440,438804120,103341550
Dec-77,1977,12,486500220,23848050,462652170,108111160
Mar-78,1978,3,489679960,22258180,467421780,103341550
Jun-78,1978,6,464242040,19078440,445163600,109701030
Sep-78,1978,9,461062300,15898700,443573730,100161810
Dec-78,1978,12,500809050,20668310,480140740,119240250
Mar-79,1979,3,505578660,20668310,484910350,109701030
Jun-79,1979,6,461062300,15898700,445163600,120830120
Sep-79,1979,9,426085160,12718960,413366200,101751680
Dec-79,1979,12,478550870,17488570,461062300,111290900
Mar-80,1980,3,469011650,15898700,453112950,106521290
Jun-80,1980,6,453112950,12718960,438804120,101751680
Sep-80,1980,9,448343340,11129090,435624380,100161810
Dec-80,1980,12,494449570,15898700,478550870,114470640
Mar-81,1981,3,473781260,12718960,461062300,104931420
Jun-81,1981,6,465831910,11129090,454702820,106521290
Sep-81,1981,9,465831910,9539220,456292690,98571940
Dec-81,1981,12,488090090,12718960,473781260,109701030
Mar-82,1982,3,480140740,11129090,469011650,108111160
Jun-82,1982,6,475371130,9539220,465831910,101751680
Sep-82,1982,9,469011650,7949350,461062300,96982070
Dec-82,1982,12,489679960,9539220,480140740,98571940
Mar-83,1983,3,475371130,9539220,467421780,103341550
Jun-83,1983,6,470601520,7949350,462652170,106521290
Sep-83,1983,9,478550870,12718960,465831910,101751680
Dec-83,1983,12,503988790,50875840,453112950,111290900
Mar-84,1984,3,503988790,49285970,453112950,116060510
Jun-84,1984,6,491269830,41336620,448343340,114470640
Sep-84,1984,9,472191390,41336620,430854770,112880770
Dec-84,1984,12,510348270,47696100,462652170,122419990
Mar-85,1985,3,480140740,42926490,437214250,120830120
Jun-85,1985,6,464242040,38156880,427675030,108111160
Sep-85,1985,9,457882560,34977140,422905420,151037650
Dec-85,1985,12,484910350,36567010,446753470,120830120
Mar-86,1986,3,476961000,38156880,440393990,114470640
Jun-86,1986,6,483320480,33387270,449933210,133549080
Sep-86,1986,9,507168530,34977140,472191390,130369340
Dec-86,1986,12,531016580,38156880,494449570,131959210
Mar-87,1987,3,516707750,28617660,488090090,130369340
Jun-87,1987,6,519887490,22258180,496039440,141498430
Sep-87,1987,9,519887490,22258180,497629310,136728820
Dec-87,1987,12,570763330,30207530,540555800,139908560
Mar-88,1988,3,550095020,36567010,513528010,144678170
Jun-88,1988,6,531016580,38156880,492859700,144678170
Sep-88,1988,9,542145670,41336620,499219180,135138950
Dec-88,1988,12,583482290,50875840,531016580,147857910
Mar-89,1989,3,575532940,54055580,521477360,143088300
Jun-89,1989,6,564403850,57235320,507168530,141498430
Sep-89,1989,9,564403850,69954280,494449570,133549080
Dec-89,1989,12,608920210,84263110,523067230,144678170
Mar-90,1990,3,615279690,92212460,521477360,138318690
Jun-90,1990,6,613689820,109701030,503988790,147857910
Sep-90,1990,9,613689820,135138950,478550870,141498430
Dec-90,1990,12,640717610,160576870,480140740,147857910
Mar-91,1991,3,607330340,174885700,432444640,146268040
Jun-91,1991,6,602560730,186014790,416545940,149447780
Sep-91,1991,9,621639170,203503360,418135810,151037650
Dec-91,1991,12,637537870,219402060,418135810,163756610
Mar-92,1992,3,624818910,219402060,405416850,176475570
Jun-92,1992,6,612099950,220991930,391108020,174885700
Sep-92,1992,9,610510080,230531150,379978930,178065440
Dec-92,1992,12,661385920,254379200,405416850,195554010
Mar-93,1993,3,624818910,248019720,376799190,201913490
Jun-93,1993,6,613689820,249609590,364080230,205093230
Sep-93,1993,9,620049300,263918420,356130880,201913490
Dec-93,1993,12,666155530,286176600,379978930,222581800
Mar-94,1994,3,647077090,284586730,362490360,236890630
Jun-94,1994,6,626408780,276637380,349771400,235300760
Sep-94,1994,9,640717610,295715820,345001790,232121020
Dec-94,1994,12,690003580,322743610,367259970,241660240
Mar-95,1995,3,662975790,314794260,346591660,246429850
Jun-95,1995,6,647077090,314794260,332282830,276637380
Sep-95,1995,9,685233970,341822050,343411920,300485430
Dec-95,1995,12,696363060,365670100,330692960,279817120
Mar-96,1996,3,659796050,395877630,263918420,287766470
Jun-96,1996,6,664565660,462652170,201913490,292536080
Sep-96,1996,9,661385920,470601520,192374270,267098160
Dec-96,1996,12,712261760,511938140,201913490,316384130
Mar-97,1997,3,696363060,505578660,192374270,290946210
Jun-97,1997,6,680464360,497629310,182835050,322743610
Sep-97,1997,9,680464360,500809050,178065440,298895560
Dec-97,1997,12,731340200,540555800,189194530,341822050
Mar-98,1998,3,699542800,519887490,181245180,333872700
Jun-98,1998,6,690003580,513528010,176475570,314794260
Sep-98,1998,9,685233970,511938140,173295830,310024650
Dec-98,1998,12,744059160,556454500,187604660,337052440
Mar-99,1999,3,717031370,537376060,178065440,332282830
Jun-99,1999,6,697952930,523067230,174885700,317974000
Sep-99,1999,9,705902280,532606450,173295830,332282830
Dec-99,1999,12,750418640,567583590,181245180,360900490
Mar-00,2000,3,721800980,550095020,171705960,386338410
Jun-00,2000,6,688413710,529426710,158987000,352951140
Sep-00,2000,9,690003580,538965930,151037650,351361270
Dec-00,2000,12,742469290,583482290,158987000,384748540
Mar-01,2001,3,717031370,562813980,155807260,379978930
Jun-01,2001,6,697952930,546915280,151037650,364080230
Sep-01,2001,9,707492150,556454500,151037650,370439710
Dec-01,2001,12,744059160,585072160,158987000,387928280
Mar-02,2002,3,717031370,561224110,155807260,387928280
Jun-02,2002,6,723390850,567583590,154217390,392697890
Sep-02,2002,9,736109810,578712680,157397130,395877630
Dec-02,2002,12,788575520,620049300,170116090,427675030
Mar-03,2003,3,761547730,597791120,163756610,418135810
Jun-03,2003,6,744059160,585072160,158987000,411776330
Sep-03,2003,9,745649030,586662030,158987000,399057370
Dec-03,2003,12,804474220,629588520,174885700,434034510
Mar-04,2004,3,809243830,615279690,193964140,429264900
Jun-04,2004,6,772676820,591431640,181245180,421315550
Sep-04,2004,9,772676820,594611380,178065440,394287760
Dec-04,2004,12,812423570,642307480,170116090,430854770
Mar-05,2005,3,807653960,634358130,173295830,464242040
Jun-05,2005,6,758367990,600970860,157397130,440393990
Sep-05,2005,9,737699680,586662030,151037650,441983860
Dec-05,2005,12,793345130,632768260,160576870,470601520
Mar-06,2006,3,791755260,632768260,158987000,459472430
Jun-06,2006,6,782216040,623229040,158987000,464242040
Sep-06,2006,9,739289550,597791120,139908560,440393990
Dec-06,2006,12,807653960,647077090,160576870,491269830
Mar-07,2007,3,802884350,639127740,163756610,480140740
Jun-07,2007,6,766317340,612099950,154217390,467421780
Sep-07,2007,9,777446430,623229040,154217390,459472430
Dec-07,2007,12,831502010,666155530,165346480,508758400
Mar-08,2008,3,814013440,653436570,162166740,503988790
Jun-08,2008,6,798114740,647077090,149447780,511938140
Sep-08,2008,9,736109810,597791120,138318690,462652170
Dec-08,2008,12,775856560,621639170,154217390,473781260
Mar-09,2009,3,753598380,591431640,162166740,451523080
Jun-09,2009,6,761547730,607330340,155807260,472191390
Sep-09,2009,9,758367990,604150600,154217390,475371130
Dec-09,2009,12,807653960,642307480,166936350,534196320
Mar-10,2010,3,794935000,631178390,162166740,488090090
Jun-10,2010,6,756778120,602560730,154217390,515117880
Sep-10,2010,9,755188250,602560730,152627520,503988790
Dec-10,2010,12,799704610,635948000,162166740,551684890
Mar-11,2011,3,782216040,621639170,160576870,534196320
Jun-11,2011,6,742469290,604150600,138318690,518297620
Sep-11,2011,9,744059160,612099950,133549080,508758400
Dec-11,2011,12,779036300,626408780,152627520,542145670
Mar-12,2012,3,748828770,607330340,141498430,540555800
Jun-12,2012,6,731340200,589841770,143088300,527836840
Sep-12,2012,9,723390850,581892420,139908560,507168530
Dec-12,2012,12,774266690,620049300,154217390,546915280
Mar-13,2013,3,752008510,600970860,151037650,534196320
Jun-13,2013,6,697952930,550095020,147857910,518297620
Sep-13,2013,9,726570590,583482290,143088300,508758400
Dec-13,2013,12,775856560,616869560,158987000,578712680
Mar-14,2014,3,740879420,588251900,152627520,559634240
Jun-14,2014,6,726570590,575532940,151037650,538965930
Sep-14,2014,9,724980720,573943070,151037650,556454500
Dec-14,2014,12,785395780,620049300,166936350,575532940
Mar-15,2015,3,775856560,608920210,166936350,588251900
Jun-15,2015,6,739289550,578712680,160576870,558044370
Sep-15,2015,9,744059160,583482290,160576870,548505150
Dec-15,2015,12,807653960,629588520,178065440,605740470
Mar-16,2016,3,794935000,621639170,173295830,586662030
Jun-16,2016,6,744059160,572353200,171705960,570763330
Sep-16,2016,9,767907210,593021510,174885700,565993720
Dec-16,2016,12,815603310,627998650,187604660,631178390
Mar-17,2017,3,809243830,626408780,184424920,637537870
Jun-17,2017,6,782216040,602560730,179655310,643897350
Sep-17,2017,9,767907210,588251900,179655310,635948000
Dec-17,2017,12,837861490,642307480,195554010,690003580
Mar-18,2018,3,812423570,623229040,189194530,669335270
Jun-18,2018,6,775856560,596201250,179655310,655026440
Sep-18,2018,9,758367990,585072160,173295830,648666960
Dec-18,2018,12,821962790,640717610,182835050,755188250
Mar-19,2019,3,807653960,621639170,184424920,648666960
Jun-19,2019,6,771086950,591431640,179655310,626408780
Sep-19,2019,9,755188250,585072160,170116090,613689820
Dec-19,2019,12,820372920,629588520,190784400,662975790
Mar-20,2020,3,763137600,586662030,178065440,643897350
Jun-20,2020,6,486500220,370439710,116060510,494449570
Sep-20,2020,9,721800980,543735540,178065440,634358130
Dec-20,2020,12,806064090,602560730,201913490,709082020
Mar-21,2021,3,750418640,559634240,190784400,675694750
Jun-21,2021,6,758367990,567583590,190784400,674104880
